word,importance
experience,0.0019110462013124483
way,0.0019045043856800367
lot,0.00189435104453105
delicious,0.0018898873268799864
chicken,0.0018798423431905676
wasnt,0.001857013167226648
ive,0.0018451797658011581
work,0.0018446477004745681
small,0.0018203329872430272
prices,0.0018170548004880452
want,0.001772181582464793
expect,0.0017430145306733989
big,0.0017386981574323162
gave,0.0017361322536122866
im,0.0017305780619756564
old,0.0017287234797742086
night,0.0017237568195961994
make,0.0017203834968040979
bathroom,0.0017177474898191394
going,0.0017113132733182687
day,0.0017074719865577679
amazing,0.0017071846459031992
parking,0.0016811364089957172
min,0.0016580361461228062
quality,0.0016533474411708662
drivethru,0.0016380335727120424
morning,0.0016257572641212895
use,0.001615558792689864
awful,0.001614229972967573
attitude,0.0016027532225798685
come,0.001586727315262553
mcdonald,0.001578511590748771
say,0.0015644539218468674
helpful,0.0015563566042733248
menu,0.0015534281663091504
fine,0.0015520019051245447
mc,0.0015493345211114041
sandwich,0.0015449145917632392
needs,0.0015298295209665354
store,0.0015157119149291406
ice,0.001511247321734518
kind,0.0014960546860625196
slowest,0.0014774323458024007
window,0.001470640578280526
attention,0.0014638401879442141
nasty,0.0014543533032367222
hour,0.0014524520218229591
decent,0.0014409138288025269
ask,0.0014372138726307616
taste,0.0014330733846419474
cheap,0.0014209038467164312
working,0.0014130032856535853
workers,0.001405391432921607
nuggets,0.001399182059854995
ordering,0.001389180153112681
app,0.0013761160986016702
play,0.0013754138379995222
forgot,0.0013660689991034471
visit,0.0013535536635680442
stop,0.00133886332717332
quickly,0.001333231479878622
says,0.0013290274530735854
burgers,0.0013263685949701925
mess,0.0013252736064401408
hard,0.0013200277230483975
worse,0.0013124704710466956
disgusting,0.0013030604254241718
close,0.0012955214203132731
cool,0.0012950430868607869
typical,0.0012916328370490705
bathrooms,0.0012903445267356825
getting,0.0012891413846453483
came,0.0012889566740712757
mac,0.0012793702698837511
correct,0.0012747750541743912
convenient,0.0012692276965166685
away,0.001267218589166124
thing,0.0012656487724090363
sucks,0.0012642194565757575
mcds,0.0012592229432367389
items,0.001257741537959275
lady,0.0012573607701819784
perfect,0.0012508058170098623
easy,0.0012468234961692502
missing,0.0012436748797703665
average,0.0012379979315052993
drinks,0.0012376923522323395
thats,0.0012321634546003555
polite,0.0012272997810249308
thank,0.0012169100778720464
large,0.0011965950920735354
machine,0.0011906576706517847
mins,0.0011872395155565676
usual,0.00118023530494113
cashier,0.0011774422794312315
cream,0.0011708973441988313
stars,0.0011676380432787516
tables,0.0011668662445717202
restroom,0.0011605800706028656
money,0.0011362127697847517
don,0.0011350932618245648
table,0.0011326298588895444
drink,0.0011315032678744148
loved,0.0011236125404938226
pm,0.0011211096895072862
outside,0.0011184280625072553
efficient,0.0011096667669487682
expensive,0.0011051395438761782
expected,0.0010983863983581108
kiosk,0.0010969113158535708
happy,0.0010855323689039633
late,0.0010734801331475983
help,0.001066054886958107
person,0.0010629220182934737
management,0.0010501647774985453
standard,0.0010499399514092695
sure,0.0010426528578150562
serve,0.0010330914870512115
price,0.001032269075844002
eating,0.0010315399354347944
used,0.0010273814952121228
special,0.0010232706254223514
dining,0.0010193463554499782
pizza,0.0010189327798569502
avoid,0.000999550641463097
sauce,0.0009974807262205475
warm,0.0009971805580389153
youre,0.0009944795787992274
lunch,0.0009900872261179978
accurate,0.0009815070468576202
wonderful,0.000980569623468935
lines,0.0009804567561216707
unprofessional,0.0009762070497888742
quite,0.0009691365262829278
normal,0.0009590634274963222
check,0.0009549427384090971
room,0.0009479913026556354
home,0.0009429088281137613
tasty,0.0009400037518726543
security,0.0009397392961130867
cheese,0.0009288970610642068
bag,0.0009287040514809934
today,0.0009273066851290866
different,0.0009262209092533309
fish,0.0009246592659308723
think,0.0009241572497944167
donalds,0.0009204134721229916
pay,0.0009149867970032711
services,0.0009132720886658414
atmosphere,0.0009095395969855376
doesnt,0.0009093890222736939
served,0.0009080341282596409
seating,0.0009017204244726784
places,0.0008993572429718859
employee,0.0008978823136894128
soda,0.0008939558799306694
lol,0.0008805232822805958
extremely,0.0008780158311798609
forever,0.000866392832905855
french,0.0008660034271229204
stopped,0.0008654982960419097
pleasant,0.0008643510911751039
overall,0.0008572895322809435
care,0.0008559555260013267
far,0.0008559331284908388
regular,0.0008504709625773228
available,0.00084906973933112
counter,0.000848253265386568
isnt,0.0008469236369207915
family,0.0008465058158773352
having,0.0008423178924231131
free,0.0008367416769307301
point,0.0008358669916068457
wont,0.0008319032981754029
coming,0.0008277125601663448
wanted,0.0008218544558571754
consistent,0.0008214849288661701
recommend,0.0008211253284729088
hate,0.0008177847459067811
half,0.000817044354850786
zoo,0.0008163404376517609
professional,0.0008152709979931745
years,0.0008148173183914197
car,0.0008119888496104137
restrooms,0.000811052094046351
ds,0.0008085927145626433
trash,0.0008073667520417592
gets,0.0008038324184423214
spot,0.0008017316720110865
needed,0.0008008776705630454
dry,0.0007949914068607162
packed,0.000789310057740756
gross,0.0007858257359422387
egg,0.0007824325519476964
enjoy,0.0007818915380677553
kiosks,0.0007780185086062256
double,0.0007720228008287433
ridiculous,0.0007690736662002177
didn,0.0007684375429864307
ready,0.0007661971766441712
favorite,0.0007657396282583301
actually,0.0007653849781170629
especially,0.0007618654601271014
messed,0.0007607700322088479
job,0.0007605535132468251
taking,0.0007595244681008667
faster,0.0007595242016115822
cooked,0.0007581573974951631
instead,0.0007576831920422215
theres,0.0007563801118231835
takes,0.0007547264873050218
makes,0.0007538237287153862
courteous,0.0007532719067251267
bite,0.0007531080993525123
high,0.0007509817300815083
problem,0.0007497487646210977
lots,0.0007493971822102332
forget,0.0007476886597438272
english,0.0007415800447894668
bring,0.0007412693904322962
run,0.0007403148926960205
does,0.0007360554626044604
